from,moved
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/delete/,https://www.azion.com/pt-br/documentacao/produtos/guias/contas/excluir-conta/
https://www.azion.com/pt-br/documentacao/produtos/CLI/,https://www.azion.com/pt-br/documentacao/produtos/azion-cli/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/fetch-event/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/fetch-event/
https://www.azion.com/pt-br/documentacao/produtos/edge-caching/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/edge-caching/
https://www.azion.com/pt-br/documentacao/casos-de-uso/content-azion-secure-token/,https://www.azion.com/pt-br/documentacao/produtos/guias/secure-token-marketplace/
https://www.azion.com/pt-br/documentacao/produtos/edge-firewall/network-lists/,https://www.azion.com/en/documentation/products/secure/edge-firewall/network-layer-protection/network-lists/
https://www.azion.com/pt-br/docs/produtos/load-balancer/preco/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/load-balancer/
https://www.azion.com/pt-br/docs/produtos/web-application-firewall/preco/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/web-application-firewall/
https://www.azion.com/pt-br/docs/produtos/edge-caching/preco/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/edge-caching/
https://www.azion.com/pt-br/documentacao/produtos/guides/excluir-edge-application/,https://www.azion.com/pt-br/documentacao/produtos/guias/excluir-edge-application/
https://www.azion.com/pt-br/docs/produtos/adaptive-delivery/,https://www.azion.com/pt-br/documentacao/build/produtos/edge-application/
https://www.azion.com/pt-br/docs/produtos/integration-services/,https://www.azion.com/pt-br/documentacao/servicos/solutions-lab/integration-services/
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/account-settings/pt-br/documentacao/produtos/gestao-de-contas/your-settings/,https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/account-settings/
https://www.azion.com/pt-br/documentacao/produtos/edge-functions/runtime-apis/lua/cookie,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-functions/runtime-apis/lua/args,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/add-eventlistener,https://www.azion.com/en/documentation/products/edge-application/edge-functions/runtime-apis/javascript/add-eventlistener/
https://www.azion.com/pt-br/documentacao/edge-firewall/,https://www.azion.com/pt-br/documentacao/produtos/secureedge-firewall/
https://www.azion.com/pt-br/documentacao/produtos/guias/deletar-edge-application/,https://www.azion.com/pt-br/documentacao/produtos/guias/excluir-edge-application/
https://www.azion.com/pt-br/documentacao/produtos/guides/edge-caching/,https://www.azion.com/pt-br/documentacao/produtos/guias/edge-caching/
https://www.azion.com/pt-br/documentacao/produtos/getting-started/,https://www.azion.com/pt-br/documentacao/produtos/ponto-de-partida/
https://www.azion.com/pt-br/documentacao/produtos/accounts/creating-account/,https://www.azion.com/pt-br/documentacao/produtos/contas/criar-uma-conta/
https://www.azion.com/pt-br/documentacao/produtos/guides/deletar-edge-application/,https://www.azion.com/pt-br/documentacao/produtos/guias/excluir-edge-application/
https://www.azion.com/pt-br/documentacao/produtos/guides/apis-performance-sites-application-acceleration/,https://www.azion.com/pt-br/documentacao/produtos/guias/desempenho-apis-sites-application-acceleration/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/functions-instances/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/edge-functions-instances/
https://www.azion.com/pt-br/documentacao/produtos/guides/clonar-edge-application/,https://www.azion.com/pt-br/documentacao/produtos/guias/clonar-edge-application/
https://www.azion.com/pt-br/documentacao/produtos/web-application-firewall/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/web-application-firewall/
https://www.azion.com/pt-br/documentacao/produtos/intelligent-dns/compatibilidade-dnssec,https://www.azion.com/pt-br/documentacao/produtos/secure/intelligent-dns/compatibilidade-dnssec/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/fetch-event,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/fetch-event/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/response,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/response/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/fetch,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/fetch/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/
https://www.azion.com/en/documentation/products/edge-application/edge-functions/javascript-runtime-apis/fetch-event,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/fetch-event/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/encoding,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/encoding/
